연번,동별,구분,시설명,소재지,연락처,데이터기준일자
70,"수성2,3가",공설,참마음경로당,수성로60길 45-1,053-766-0315,2023-09-12
71,"수성2,3가",공설,열린경로당,명덕로 405-4,053-741-6850,2023-09-12
72,"수성2,3가",아파트,수성3가롯데캐슬경로당,명덕로 455,053-745-0102,2023-09-12
73,"수성2,3가",아파트,수성코오롱하늘채경로당,들안로 300,053-746-1026,2023-09-12
74,"수성2,3가",아파트,롬바드아파트경로당,들안로 325,053-742-5801,2023-09-12
75,수성4가,공설,수성4가경로당,범어천로 151,053-754-6742,2023-09-12
76,수성4가,공설,미수경로당,들안로81길 29,053-743-5155,2023-09-12
77,수성4가,공설,신천경로당,신천동로88길 1-15,053-743-0181,2023-09-12
78,수성4가,아파트,수성보성타운경로당,수성로 412,053-754-2686,2023-09-12
79,수성4가,아파트,수성화성쌍용타운경로당,수성로 411,053-241-3677,2023-09-12
80,수성4가,아파트,대림e-편한세상경로당,들안로73길 50-7,053-218-3220,2023-09-12
81,수성4가,아파트,우방사랑마을아파트경로당,달구벌대로 2317,053-742-3442,2023-09-12
82,수성4가,아파트,수성우방팔레스경로당,수성로 400,053-741-1175,2023-09-12
83,수성4가,아파트,범어삼환나우빌경로당,범어천로 197,053-741-6653,2023-09-12
84,수성4가,아파트,수성데시앙경로당,들안로 360,053-745-3030,2023-09-12
85,수성4가,아파트,수성롯데캐슬경로당,달구벌대로 2315,053-742-0548,2023-09-12
86,황금1동,아파트,신천지타운경로당,청호로46길 16,053-767-1960,2023-09-12
87,황금1동,아파트,황금종합복지관경로당,청수로45길 41,053-763-2453,2023-09-12
88,황금1동,아파트,캐슬골드파크3단지경로당,청수로 257,053-768-5596,2023-09-12
89,황금1동,아파트,캐슬골드파크4단지경로당,청수로 261,053-768-5597,2023-09-12
90,황금1동,아파트,캐슬골드파크5단지경로당,청수로 214,053-768-5598,2023-09-12
91,황금1동,아파트,캐슬골드파크1단지경로당,청수로 213,053-768-5591,2023-09-12
92,황금1동,아파트,황금태왕아너스경로당,청호로345,053-741-1486,2023-09-12
93,황금1동,아파트,황금힐스테이트경로당,청수로274,053-219-9300,2023-09-12
94,황금1동,아파트,수성2차우방타운경로당,청호로 330,개인정보 포함,2023-09-12
95,황금2동,공설,황금2동 제1경로당,희망로36길 32,053-764-5114,2023-09-12
96,황금2동,공설,황금2동 제2경로당,들안로40안길 7-20,053-761-1057,2023-09-12
97,황금2동,아파트,황금미진아파트경로당,청솔로12길 40,053-766-3241,2023-09-12
98,중동,공설,중동제1경로당,수성로39안길 5,053-768-6818,2023-09-12
99,중동,공설,중부리경로당,수성로52안길 7-10,053-763-4439,2023-09-12
100,중동,공설,상록수경로당,들안로29길 26-18,053-761-5782,2023-09-12
101,중동,아파트,광명아파트경로당,수성로 165,053-761-9192,2023-09-12
102,중동,아파트,서울중동경로당,신천동로 216,053-765-3087,2023-09-12
103,중동,아파트,수성효성해링턴플레이스경로당,희망로24길 24,개인정보 포함,2023-09-12
104,상 동,공설,상동공원경로당,들안로13길 118,053-767-3569,2023-09-12
105,상 동,공설,상동제2경로당,수성로15길 42-6,053-761-4335,2023-09-12
106,상 동,공설,한들경로당,수성로32길 99,053-762-6675,2023-09-12
107,상 동,공설,덕화경로당,들안로9길 56,053-763-0801,2023-09-12
108,상 동,아파트,상동청구타운경로당,상동247,053-768-9240,2023-09-12
109,상 동,아파트,정화우방팔레스경로당,수성로135,053-764-7135,2023-09-12
110,상 동,아파트,수성동일하이빌경로당,수성로 71,053-763-0056,2023-09-12
111,파 동,공설,파동 제1경로당,파동로38길 45-13,053-763-1441,2023-09-12
112,파 동,공설,파동 제2경로당,파동로18길 56,053-767-4660,2023-09-12
113,파 동,아파트,대자연1차경로당,파동로 120,053-767-3082,2023-09-12
114,파 동,아파트,대자연2차경로당,파동로 84,053-764-6552,2023-09-12
115,파 동,아파트,송원맨션경로당,파동로 223,053-767-3668,2023-09-12
116,파 동,아파트,동신실리안경로당,파동로 209,053-764-8299,2023-09-12
117,파 동,아파트,화성파크뷰경로당,파동로 19,053-761-9556,2023-09-12
118,파 동,아파트,청구하이츠경로당,파동로12길 40,053-768-7106,2023-09-12
119,파 동,아파트,파동 태왕리더스경로당,파동로 105,053-762-1005,2023-09-12
120,파 동,아파트,수성못코오롱하늘채경로당,파동로 222,053-765-2511,2023-09-12
121,파 동,아파트,남광타운경로당,파동로 22길 3,053-767-1383,2023-09-12
122,두산동,공설,두산경로당,들안로8길 68-5,053-767-0744,2023-09-12
123,두산동,공설,두산제1경로당,지범로21-11,053-762-0883,2023-09-12
124,두산동,아파트,대우트럼프월드 수성경로당,동대구로 59,053-766-0990,2023-09-12
125,두산동,아파트,수성SK리더스뷰경로당,동대구로 95,053-762-9100,2023-09-12
126,지산1동,공설,지산경로당,지산로11길 6-19,053-781-0433,2023-09-12
127,지산1동,공설,수동경로당,지범로31안길 3-14,053-782-5615,2023-09-12
128,지산1동,공설,새마을경로당,무학로31길 23,053-761-1800,2023-09-12
129,지산1동,공설,지산무학경로당,청수로38길 53-11,053-761-1956,2023-09-12
130,지산1동,아파트,청산맨션경로당,지범로21길 15,053-783-8675,2023-09-12
131,지산1동,아파트,시영3단지경로당,용학로 303,053-782-0570,2023-09-12
132,지산1동,아파트,지산서한이다음아파트경로당,용학로 313,053-782-3873,2023-09-12
133,지산1동,아파트,녹원맨션경로당,무학로 189,053-766-7534,2023-09-12
134,지산1동,아파트,동서맨션경로당,지산로 56,053-782-8381,2023-09-12
135,지산1동,아파트,청구타운경로당,지산로 48,053-781-5440,2023-09-12
136,지산1동,아파트,시영5단지복지관경로당,용학로 325,053-783-8222,2023-09-12
137,지산1동,아파트,동서무학맨션경로당,지산로14길 83,053-781-2012,2023-09-12
138,지산1동,아파트,보성맨션경로당,지범로21길 3,053-783-2801,2023-09-12
139,지산2동,공설,거성경로당,용학로48길 25-1,053-781-6668,2023-09-12
140,지산2동,공설,지산2동경로당,용학로33길 17-16,053-783-8887,2023-09-12
141,지산2동,아파트,지산목련아파트경로당,용학로42길 13,053-783-3735,2023-09-12
142,지산2동,아파트,호반송학경로당,용학로46길 40,053-782-1591,2023-09-12
143,지산2동,아파트,지산우방타운경로당,지산로 32,053-784-0410,2023-09-12
144,지산2동,아파트,현대맨션경로당,지범로22길 20,053-782-6155,2023-09-12
145,지산2동,아파트,지산리더스경로당,지산로 5,053-784-6999,2023-09-12
146,지산2동,아파트,한라타운경로당,지범로22길 9,053-781-8522,2023-09-12
147,지산2동,아파트,화성맨션경로당,용학로35길 62,053-783-0170,2023-09-12
148,지산2동,아파트,영남맨션경로당,지산로 31,053-782-1305,2023-09-12
149,지산2동,아파트,지산에덴경로당,용학로 223,053-784-4410,2023-09-12
150,지산2동,아파트,협화맨션경로당,지범로22길 23,053-784-1518,2023-09-12
151,지산2동,아파트,대우로얄하이츠경로당,용학로36길 20,053-783-1514,2023-09-12
152,지산2동,아파트,지산보성경로당,지범로22길 10,개인정보 포함,2023-09-12
153,범물1동,공설,범물경로당,범안로16길 46,053-782-1161,2023-09-12
154,범물1동,아파트,용지2단지복지관경로당,범안로 79,053-784-8335,2023-09-12
155,범물1동,아파트,범물용지아파트경로당,범안로 77,053-784-8334,2023-09-12
156,범물1동,아파트,범물하이츠경로당,용학로 336,053-781-7122,2023-09-12
157,범물1동,아파트,보성타운경로당,지범로39길 56,053-261-3232,2023-09-12
158,범물1동,아파트,범물보성맨션경로당,용학로 316,053-783-2801,2023-09-12
159,범물1동,아파트,범물청구타운경로당,지범로39길 12,053-782-9360,2023-09-12
160,범물1동,아파트,범물영남타운경로당,용학로 316,053-214-5889,2023-09-12
161,범물2동,공설,범물공원경로당,지범로 232,053-783-8336,2023-09-12
162,범물2동,공설,범물2동경로당,지범로48길 14-1,053-784-6145,2023-09-12
163,범물2동,아파트,범물맨션경로당,용학로 272,053-782-4734,2023-09-12
164,범물2동,아파트,서한화성경로당,지범로40길 11,053-784-7837,2023-09-12
165,범물2동,아파트,청아맨션경로당,범안로 40,053-782-2355,2023-09-12
166,범물2동,아파트,신화맨션경로당,지범로40길 6,053-781-3334,2023-09-12
167,범물2동,아파트,동서노인경로당,범안로 40,053-784-1245,2023-09-12
168,범물2동,아파트,삼주타운경로당,범안로8길 35,053-784-9950,2023-09-12
169,범물2동,아파트,에덴타운경로당,지범로40길 6,053-783-5633,2023-09-12
170,범물2동,아파트,보성송정타운경로당,지범로46길 43,053-784-5524,2023-09-12
171,범물2동,아파트,두성타운경로당,지범로 300,053-782-8068,2023-09-12
172,범물2동,아파트,우방미진하이츠경로당,지범로 290,053-784-1770,2023-09-12
173,범물2동,아파트,청림맨션경로당,지범로54길 15,053-782-6371,2023-09-12
174,범물2동,아파트,범물인앤인아파트경로당,지범로52길 69,개인정보 포함,2023-09-12
175,범물2동,아파트,수성하늘채르레브경로당,지범로48길 21,개인정보 포함,2023-09-12
176,고산1동,공설,신매경로당,욱수천로 78,053-792-2340,2023-09-12
177,고산1동,공설,욱수경로당,욱수천로 15,053-791-6222,2023-09-12
178,고산1동,공설,신매공원경로당,달구벌대로650길 59-6,053-793-5145,2023-09-12
179,고산1동,아파트,천마타운경로당,신매로 71,053-792-4698,2023-09-12
180,고산1동,아파트,태성맨션경로당,고산로 50,053-792-5962,2023-09-12
181,고산1동,아파트,에덴맨션경로당,고산로12길 34,053-791-3455,2023-09-12
182,고산1동,아파트,"대백,신화,창신아파트경로당",고산로 90,053-792-5638,2023-09-12
183,고산1동,아파트,시지두성타운경로당,고산로 30,053-792-8335,2023-09-12
184,고산1동,아파트,"삼주,한라,협화아파트경로당",신매로 91,053-793-7720,2023-09-12
185,고산1동,아파트,시지보성서한아파트경로당,신매로 21,053-218-4737,2023-09-12
186,고산1동,아파트,시지청솔타운경로당,고산로 70,053-792-2933,2023-09-12
187,고산1동,아파트,시지동서타운경로당,신매로 41,053-792-6018,2023-09-12
188,고산1동,아파트,신화빌라트경로당,달구벌대로650길 29,053-793-3768,2023-09-12
189,고산1동,아파트,태왕5차월드하이츠경로당,욱수천로 7,053-216-0767,2023-09-12
190,고산1동,아파트,시지태왕3차하이츠경로당,욱수천로 77,053-792-1246,2023-09-12
191,고산1동,아파트,태왕레전드경로당,욱수천로 27,053-791-0258,2023-09-12
192,고산1동,아파트,사월화성파크드림 2단지경로당,달구벌대로 3304-1,053-794-8112,2023-09-12
193,고산1동,아파트,사월화성파크드림 3단지경로당,달구벌대로 3304-2,053-794-8103,2023-09-12
194,고산1동,아파트,시지효성백년가약 1단지경로당,달구벌대로 3280,053-795-5114,2023-09-12
195,고산1동,아파트,시지효성백년가약 2단지경로당,달구벌대로 3280-1,053-795-6114,2023-09-12
196,고산1동,아파트,웰리치시지경로당,욱수천로 55,053-795-1115,2023-09-12
197,고산2동,공설,시지경로당,달구벌대로619길 2,053-791-4925,2023-09-12
198,고산2동,공설,가천경로당,고모로24길 25,053-791-8002,2023-09-12
199,고산2동,공설,연호경로당,범안로91길 70,053-793-4040,2023-09-12
200,고산2동,공설,고모경로당,고모로39길 20,053-793-6008,2023-09-12
201,고산2동,공설,대흥경로당,월드컵로6길 54,053-791-3799,2023-09-12
202,고산2동,공설,이천경로당,달구벌대로574길 192-1,053-792-6979,2023-09-12
203,고산2동,공설,노변경로당,노변로 77,053-791-9113,2023-09-12
204,고산2동,공설,팔현경로당,팔현길 88-5,053-793-1333,2023-09-12
205,고산2동,공설,삼덕경로당,범안로64길 18-11,개인정보 포함,2023-09-12
206,고산2동,공설,연호동 제2경로당,달구벌대로 569길 20,개인정보 포함,2023-09-12
207,고산2동,아파트,청구전원아파트경로당,시지로 45,053-791-6719,2023-09-12
208,고산2동,아파트,은세계아파트경로당,달구벌대로 3081,053-792-9290,2023-09-12
209,고산2동,아파트,제림은탑맨션경로당,천을로 49,053-793-4726,2023-09-12
210,고산2동,아파트,노변청구타운경로당,시지로 21,053-792-0466,2023-09-12
211,고산2동,아파트,고산노변타운경로당,시지로 55,053-791-5058,2023-09-12
212,고산2동,아파트,노변동서우방타운경로당,노변공원로 22,053-792-1172,2023-09-12
213,고산2동,아파트,노변다숲경로당,노변공원로 34,053-793-4977,2023-09-12
214,고산2동,아파트,시지대백맨션경로당,달구벌대로625길 22,053-791-3640,2023-09-12
215,고산2동,아파트,노변대백맨션경로당,노변로 11,053-791-3574,2023-09-12
216,고산2동,아파트,수성월드메르디앙경로당,노변로 55,053-292-1981,2023-09-12
217,고산2동,아파트,시지태왕아너스경로당,천을로 91,053-266-7933,2023-09-12
218,고산2동,아파트,시지월드메르디앙경로당,천을로 70,053-792-6281,2023-09-12
219,고산2동,아파트,아이프라임시지경로당,달구벌대로 3110,053-793-5055,2023-09-12
220,고산2동,아파트,수성알파시티청아람아파트경로당,알파시티2로 96,개인정보 포함,2023-09-12
221,고산2동,아파트,수성알파시티 동화아이위시 경로당,알파시티2로 48,개인정보 포함,2023-09-12
222,고산3동,공설,사월경로당,달구벌대로 3321-4,개인정보 포함,2023-09-12
223,고산3동,공설,매호경로당,천을로31길 40,053-791-9505,2023-09-12
224,고산3동,공설,성동경로당,성동로 166,053-795-7667,2023-09-12
225,고산3동,공설,매호공원경로당,천을로23길 5,053-791-7300,2023-09-12
226,고산3동,아파트,누리타운경로당,달구벌대로637길 21,053-792-9583,2023-09-12
227,고산3동,아파트,하나타운경로당,고산로 123,053-791-9022,2023-09-12
228,고산3동,아파트,두레타운경로당,천을로 131,053-793-1565,2023-09-12
229,고산3동,아파트,매호협화타운경로당,천을로 181,053-243-5204,2023-09-12
230,고산3동,아파트,동서타운학수정경로당,천을로 180,053-792-7253,2023-09-12
231,고산3동,아파트,사월보성타운경로당,욱수천로 133,053-793-3070,2023-09-12
232,고산3동,아파트,시지2차서한타운경로당,천을로31길 8,053-791-0032,2023-09-12
233,고산3동,아파트,시지3차신매보성타운경로당,달구벌대로651길 23,053-791-7178,2023-09-12
234,고산3동,아파트,신매우방타운경로당,달구벌대로651길 33,053-793-5344,2023-09-12
235,고산3동,아파트,매호2차동서타운경로당,달구벌대로641길 8,053-201-5771,2023-09-12
236,고산3동,아파트,시지우방하이츠경로당,달구벌대로645길 22,053-216-5080,2023-09-12
237,고산3동,아파트,시지2차태왕하이츠경로당,천을로 170,053-791-6750,2023-09-12
238,고산3동,아파트,시지1차태왕하이츠경로당,달구벌대로647길 16,053-793-4976,2023-09-12
239,고산3동,아파트,시지태왕리더스경로당,달구벌대로669길 70,053-795-2477,2023-09-12
240,고산3동,아파트,한일유앤아이경로당,고산로 162,053-795-2477,2023-09-12
241,고산3동,아파트,매호화성파크드림경로당,달구벌대로641길 31,053-295-2854,2023-09-12
242,고산3동,아파트,매호효성백년가약경로당,천을로23길 31,053-795-3370,2023-09-12
243,고산3동,아파트,시지푸로지오경로당,달구벌대로661길 7,053-795-3690,2023-09-12
244,고산3동,아파트,신매효성백년가약(청)경로당,달구벌대로 3233,053-795-3166,2023-09-12
245,고산3동,아파트,신매역 우방유쉘경로당,천을로23길 21,053-795-1778,2023-09-12
246,고산3동,아파트,매호청구하이츠빌경로당,천을로23길 26,053-794-4494,2023-09-12
247,고산3동,아파트,시지대성유니드경로당,달구벌대로669길 80,053-793-4020,2023-09-12
248,고산3동,아파트,시지동화아이위시경로당,달구벌대로669길 20,053-792-1299,2023-09-12
249,고산3동,아파트,시지한신휴플러스아파트경로당,달구벌대로669길 50,053-791-6116,2023-09-12
250,고산3동,아파트,아이프라임신매경로당,달구벌대로649길 14,개인정보 포함,2023-09-12
251,고산3동,아파트,시지3차서한이다음경로당,달구벌대로669길 20-20,개인정보 포함,2023-09-12
